Target_Ticker,Target_Name,Candidate_Ticker,Candidate_Name,Distance
WOK,WORK Medical Technology Group LTD - Class A Ordinary Shares,AOK,iShares Core 30/70 Conservative Allocation ETF,1
WOK,WORK Medical Technology Group LTD - Class A Ordinary Shares,NOK,Nokia Corporation Sponsored American Depositary Shares,1
WOK,WORK Medical Technology Group LTD - Class A Ordinary Shares,ROK,"Rockwell Automation, Inc. Common Stock",1
WOK,WORK Medical Technology Group LTD - Class A Ordinary Shares,TOK,iShares MSCI Kokusai ETF,1
WOK,WORK Medical Technology Group LTD - Class A Ordinary Shares,WK,Workiva Inc. Class A Common Stock,1
WOK,WORK Medical Technology Group LTD - Class A Ordinary Shares,WLK,Westlake Corporation Common Stock,1
WOK,WORK Medical Technology Group LTD - Class A Ordinary Shares,WMK,"Weis Markets, Inc. Common Stock",1
WOK,WORK Medical Technology Group LTD - Class A Ordinary Shares,WOW,"WideOpenWest, Inc. Common Stock",1
AAPL,Apple Inc. - Common Stock,AAL,"American Airlines Group, Inc. - Common Stock",1
AAPL,Apple Inc. - Common Stock,AMPL,"Amplitude, Inc. - Class A Common Stock",1
AAPL,Apple Inc. - Common Stock,AAP,Advance Auto Parts Inc.,1
AAPL,Apple Inc. - Common Stock,CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,1
AAPL,Apple Inc. - Common Stock,PAPL,Pineapple Financial Inc. Common Stock,1
FOLD,"Amicus Therapeutics, Inc. - Common Stock",BOLD,"Boundless Bio, Inc. - Common Stock",1
FOLD,"Amicus Therapeutics, Inc. - Common Stock",COLD,"Americold Realty Trust, Inc. Common Stock",1
FOLD,"Amicus Therapeutics, Inc. - Common Stock",FCLD,Fidelity Cloud Computing ETF,1
FOLD,"Amicus Therapeutics, Inc. - Common Stock",FYLD,Cambria Foreign Shareholder Yield ETF,1
FOLD,"Amicus Therapeutics, Inc. - Common Stock",GOLD,"Gold.com, Inc. Common Stock",1
FOLD,"Amicus Therapeutics, Inc. - Common Stock",HOLD,Harbor Alpha Layering ETF,1
FOLD,"Amicus Therapeutics, Inc. - Common Stock",KOLD,ProShares UltraShort Bloomberg Natural Gas,1
TQQQ,ProShares UltraPro QQQ,GQQQ,Astoria US Quality Growth Kings ETF,1
TQQQ,ProShares UltraPro QQQ,IQQQ,ProShares Nasdaq-100 High Income ETF,1
TQQQ,ProShares UltraPro QQQ,KQQQ,Kurv Technology Titans Select ETF,1
TQQQ,ProShares UltraPro QQQ,MQQQ,Tradr 2X Long Innovation 100 Monthly ETF,1
TQQQ,ProShares UltraPro QQQ,QQQ,"Invesco QQQ Trust, Series 1",1
TQQQ,ProShares UltraPro QQQ,SQQQ,ProShares UltraPro Short QQQ,1
TQQQ,ProShares UltraPro QQQ,YQQQ,YieldMax Short N100 Option Income Strategy ETF,1
TQQQ,ProShares UltraPro QQQ,CQQQ,Invesco China Technology ETF,1
ASST,"Strive, Inc. - Class A Common Stock",AMST,Amesite Inc. - Common Stock,1
ASST,"Strive, Inc. - Class A Common Stock",AQST,"Aquestive Therapeutics, Inc. - Common Stock",1
ASST,"Strive, Inc. - Class A Common Stock",ASRT,"Assertio Holdings, Inc. - Common Stock",1
ASST,"Strive, Inc. - Class A Common Stock",ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",1
ASST,"Strive, Inc. - Class A Common Stock",AUST,Austin Gold Corp. Common Shares,1
ASST,"Strive, Inc. - Class A Common Stock",GSST,Goldman Sachs Ultra Short Bond ETF,1
ASST,"Strive, Inc. - Class A Common Stock",MSST,YieldMax MSTR Performance & Distribution Target 25 ETF,1
ASST,"Strive, Inc. - Class A Common Stock",RSST,Return Stacked U.S. Stocks & Managed Futures ETF,1
ASST,"Strive, Inc. - Class A Common Stock",SST,"System1, Inc. Class A Common Stock",1
AVGO,Broadcom Inc. - Common Stock,ANGO,"AngioDynamics, Inc. - Common Stock",1
AVGO,Broadcom Inc. - Common Stock,AUGO,Aura Minerals Inc. - Common Shares,1
AVGO,Broadcom Inc. - Common Stock,AVO,"Mission Produce, Inc. - Common Stock",1
AVGO,Broadcom Inc. - Common Stock,EVGO,EVgo Inc. - Common Stock,1
AVGO,Broadcom Inc. - Common Stock,AGO,Assured Guaranty Ltd. Common Stock,1
AAL,"American Airlines Group, Inc. - Common Stock",AAPL,Apple Inc. - Common Stock,1
AAL,"American Airlines Group, Inc. - Common Stock",ABL,"Abacus Global Management, Inc. - Class A Common Stock",1
AAL,"American Airlines Group, Inc. - Common Stock",AMAL,Amalgamated Financial Corp. - Common Stock,1
AAL,"American Airlines Group, Inc. - Common Stock",ANL,Adlai Nortye Ltd. - American Depositary Shares,1
AAL,"American Airlines Group, Inc. - Common Stock",AVL,Direxion Daily AVGO Bull 2X Shares,1
AAL,"American Airlines Group, Inc. - Common Stock",PAL,"Proficient Auto Logistics, Inc. - Common Stock",1
AAL,"American Airlines Group, Inc. - Common Stock",UAL,"United Airlines Holdings, Inc. - Common Stock",1
AAL,"American Airlines Group, Inc. - Common Stock",AA,Alcoa Corporation Common Stock ,1
AAL,"American Airlines Group, Inc. - Common Stock",AAP,Advance Auto Parts Inc.,1
AAL,"American Airlines Group, Inc. - Common Stock",AFL,AFLAC Incorporated Common Stock,1
AAL,"American Airlines Group, Inc. - Common Stock",AGL,"agilon health, inc. Common Stock",1
AAL,"American Airlines Group, Inc. - Common Stock",AHL,Aspen Insurance Holdings Limited Class A Ordinary Shares,1
AAL,"American Airlines Group, Inc. - Common Stock",AL,Air Lease Corporation Class A Common Stock,1
AAL,"American Airlines Group, Inc. - Common Stock",ALL,Allstate Corporation (The) Common Stock,1
AAL,"American Airlines Group, Inc. - Common Stock",ARL,"American Realty Investors, Inc. Common Stock",1
